16:07:47.661 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.107 scheduled to DedicatedJobQueue, queue size:1
16:07:47.694 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.108 scheduled to DedicatedJobQueue, queue size:1
16:07:47.762 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.109 scheduled to DedicatedJobQueue, queue size:1
16:07:47.785 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.110 scheduled to DedicatedJobQueue, queue size:1
16:07:47.805 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.111 scheduled to DedicatedJobQueue, queue size:1
16:07:47.827 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.112 scheduled to DedicatedJobQueue, queue size:1
16:07:47.849 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.113 scheduled to DedicatedJobQueue, queue size:1
16:07:47.865 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.114 scheduled to DedicatedJobQueue, queue size:1
16:07:47.883 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.115 scheduled to DedicatedJobQueue, queue size:1
16:07:47.912 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.116 scheduled to DedicatedJobQueue, queue size:1
16:07:47.940 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.117 scheduled to DedicatedJobQueue, queue size:1
16:07:47.954 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.118 scheduled to DedicatedJobQueue, queue size:1
16:07:47.976 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.119 scheduled to DedicatedJobQueue, queue size:1
16:07:47.993 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.120 scheduled to DedicatedJobQueue, queue size:1
